1.00797  1  1 11 H 
4.0026   0  0 12 He 
6.939    1  0 13 Li 
9.0122   2  0 14 Be 
10.811   11 0 15 B 
12.01115 12 1 16 C  
14.0067  13 1 17 N 
15.9994  14 0 18 O  
18.9984  15 0 19 F 
20.183   16 0 20 Ne 
22.9898  1  1 8  Na
24.312   2  1 6  Mg 
26.9815  11 1 3  Al 
28.086   12 1 1  Si  
30.9738  13 1 10 P
32.064   14 1 21 S
35.453   15 0 22 Cl
39.948   0  0 23 Ar
39.102   1  1 9 K
40.08    2  1 7 Ca
44.956   3  0 24 Sc 
47.90    4  1 2 Ti
50.942   5  0 25 V
51.996   6  1 26 Cr
54.9381  7  1 5 Mn 
55.847   8  1 4 Fe 
58.9332  8  0 27 Co
58.71    8  0 28 Ni 
63.54    9  0 29 Cu
65.37    10 0 30 Zn
69.72    11 0 31 Ga
72.59    12 0 32 Ge
74.9216  13 0 33 As
78.96    14 0 34 Se 
79.909   15 0 35 Br
83.80    0  0 36 Kr
85.47    1  0 37 Rb
87.62    2  0 38 Sr 
88.905   3  0 39 Y
91.22    4  0 40 Zr
92.906   5  0 41 Nb
95.94    6  0 42 Mo
97.0     7  0 43 Tc
101.07   8  0 44 Ru
102.905  8  0 45 Rh
106.4    8  0 46 Pd
107.870  9  0 47 Ag
112.4    10 0 48 Cd
114.82   11 0 49 In
118.69   12 0 50 Sn
121.75   13 0 51 Sb
127.6    14 0 52 Te
126.9044 15 0 53 I
131.3    0  0 54 Xe
132.905  1  0 55 Cs
137.34   2  0 56 Ba
138.91   3  0 57 La
140.12   3  0 58 Ce
140.907  3  0 59 Pr
144.24   3  0 60 Nd
147.0    3  0 61 Pm
150.35   3  0 62 Sm
151.96   3  0 63 Eu
157.25   3  0 64 Gd
158.924  3  0 65 Tb
162.5    3  0 66 Dy
164.93   3  0 67 Ho
167.26   3  0 68 Er
168.934  3  0 69 Tm
173.04   3  0 70 Yb
174.97   3  0 71 Lu
178.49   4  0 72 Hf
180.948  5  0 73 Ta
183.85   6  0 74 W
186.2    7  0 75 Re
190.2    8  0 76 Os
192.2    8  0 77 Ir
195.09   8  0 78 Pt
196.967  9  0 79 Au
200.59   10 0 80 Hg
204.37   11 0 81 Tl
207.19   12 0 82 Pb
208.980  13 0 83 Bi
210.0    14 0 84 Po
210.0    15 0 85 At
222.0    0  0 86 Rn
223.0    1  0 87 Fr
226.0    2  0 88 Ra
227.0    16 0 89 Ac
232.038  16 0 90 Th
231.0    16 0 91 Pa
238.03   16 0 92 U


